lat,lng,postal_code,state
33.2588817,-86.8295337,AL,Alabama
64.4459613,-149.680909,AK,Alaska
34.395342,-111.7632755,AZ,Arizona
35.2048883,-92.4479108,AR,Arkansas
36.7014631,-118.7559974,CA,California
38.7251776,-105.6077167,CO,Colorado
41.6500201,-72.7342163,CT,Connecticut
38.6920451,-75.4013315,DE,Delaware
27.7567667,-81.4639835,FL,Florida
32.3293809,-83.1137366,GA,Georgia
21.2160437,-157.975203,HI,Hawaii
43.6447642,-114.0154071,ID,Idaho
40.0796606,-89.4337288,IL,Illinois
40.3270127,-86.1746933,IN,Indiana
41.9216734,-93.3122705,IA,Iowa
38.27312,-98.5821872,KS,Kansas
37.5726028,-85.1551411,KY,Kentucky
30.8703881,-92.007126,LA,Louisiana
45.709097,-68.8590201,ME,Maine
39.5162234,-76.9382069,MD,Maryland
42.3788774,-72.032366,MA,Massachusetts
43.6211955,-84.6824346,MI,Michigan
45.9896587,-94.6113288,MN,Minnesota
32.9715645,-89.7348497,MS,Mississippi
38.7604815,-92.5617875,MO,Missouri
47.3752671,-109.6387579,MT,Montana
41.7370229,-99.5873816,NE,Nebraska
39.5158825,-116.8537227,NV,Nevada
43.4849133,-71.6553992,NH,New Hampshire
40.0757384,-74.4041622,NJ,New Jersey
34.5708167,-105.993007,NM,New Mexico
42.6588992,-80.2590355,NY,New York
35.6729639,-79.0392919,NC,North Carolina
47.6201461,-100.540737,ND,North Dakota
40.2253569,-82.6881395,OH,Ohio
34.9550817,-97.2684063,OK,Oklahoma
43.9792797,-120.737257,OR,Oregon
40.9699889,-77.7278831,PA,Pennsylvania
41.7962409,-71.5992372,RI,Rhode Island
33.6874388,-80.4363743,SC,South Carolina
44.6471761,-100.348761,SD,South Dakota
35.7730076,-86.2820081,TN,Tennessee
31.8160381,-99.5120986,TX,Texas
39.4225192,-111.7143584,UT,Utah
44.5990718,-72.5002608,VT,Vermont
37.1232245,-78.4927721,VA,Virginia
47.2868352,-120.2126139,WA,Washington
38.4758406,-80.8408415,WV,West Virginia
44.4308975,-89.6884637,WI,Wisconsin
42.9015609,-109.2539886,WY,Wyoming
